code,codeName,trade,tradeTimestamp,pctChangeRate,openPctChangeRate,entityPctChangeRate,ylimitupdays,limitupdays,jsjl,xcjw,jssb,cjs,dwcjs,lastDayLimitUpTime,firstLimitUpDays,isGestationLine,isBrokenPlate,isSmallHighOpen,isWeak,isLongShadow,isUpBroken,isFirstUpBroken,isDownBroken,isFirstDownBroken,isHalf,isBottom,isPreSt,isMedium,blockCodeList,industryBlockCodeList,blockCategoryCodeList,ybreakLimitUpDays
002514.XSHE,宝馨科技,7.7,,10.0,0.0,10.0,2,3,0.0,482.78,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['885878.DDBK', '885739.DDBK', '885930.DDBK', '885517.DDBK', '885919.DDBK', '885427.DDBK', '885883.DDBK', '885461.DDBK', '885311.DDBK', '886001.DDBK', '886006.DDBK', '885694.DDBK', '885806.DDBK', '885938.DDBK', '885921.DDBK', '885941.DDBK', '885494.DDBK', '885563.DDBK', '886007.DDBK', '885412.DDBK', '885531.DDBK']",['980365.ZHBK'],"['000038.BKDL', '000035.BKDL', '000023.BKDL', '000018.BKDL', '000011.BKDL', '000006.BKDL', '000027.BKDL', '000009.BKDL', '000033.BKDL']",0
300599.XSHE,雄塑科技,8.15,,2.2585,0.25,2.0,0,0,0.0,37.53,0.05,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['885692.DDBK', '885355.DDBK', '885572.DDBK']",['980368.ZHBK'],"['000008.BKDL', '000001.BKDL']",0
300322.XSHE,硕贝德,16.2,,1.5674,0.0,1.57,0,0,0.0,71.54,0.0,11.81,0.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,"['885785.DDBK', '885467.DDBK', '885574.DDBK', '885774.DDBK', '885999.DDBK', '885545.DDBK', '885940.DDBK', '886035.DDBK', '886043.DDBK', '885556.DDBK', '885806.DDBK', '885800.DDBK', '885934.DDBK', '885709.DDBK', '885454.DDBK', '885662.DDBK', '885431.DDBK', '886037.DDBK', '886044.DDBK', '885736.DDBK', '885997.DDBK']",['980357.ZHBK'],"['000012.BKDL', '000014.BKDL', '000006.BKDL', '000027.BKDL', '000031.BKDL', '000025.BKDL', '000029.BKDL']",0
300424.XSHE,航新科技,21.79,,-1.8468,-5.9,4.31,0,0,0.0,148.68,0.0,77.54,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,"['885743.DDBK', '885709.DDBK', '885566.DDBK', '885500.DDBK', '885700.DDBK', '885564.DDBK', '885884.DDBK', '886030.DDBK', '886067.DDBK', '885452.DDBK']",['980363.ZHBK'],"['000012.BKDL', '000003.BKDL', '000018.BKDL', '000027.BKDL', '000013.BKDL']",0
300795.XSHE,米奥会展,20.39,,2.3594,0.4,1.95,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,"['885869.DDBK', '885840.DDBK', '885420.DDBK', '885694.DDBK', '885796.DDBK', '885452.DDBK']","['980336.ZHBK', '980353.ZHBK', '980473.ZHBK']","['000003.BKDL', '000038.BKDL', '000026.BKDL', '000023.BKDL', '000010.BKDL']",0
300303.XSHE,聚飞光电,7.95,,4.194,2.36,1.79,0,0,0.0,81.55,1.95,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['885785.DDBK', '885875.DDBK', '885521.DDBK', '885675.DDBK', '885816.DDBK', '885556.DDBK', '885756.DDBK', '885987.DDBK', '886033.DDBK', '885694.DDBK', '885806.DDBK', '885963.DDBK', '885433.DDBK', '885787.DDBK', '885809.DDBK', '885431.DDBK', '885997.DDBK']",['980357.ZHBK'],"['000012.BKDL', '000038.BKDL', '000008.BKDL', '000014.BKDL', '000023.BKDL', '000006.BKDL', '000031.BKDL', '000019.BKDL', '000027.BKDL', '000004.BKDL', '000029.BKDL', '000025.BKDL']",0
688680.XSHG,海优新材,47.4,,20.0,-1.27,21.54,0,1,0.0,127.93,0.0,18.55,0.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,"['885520.DDBK', '886053.DDBK', '886026.DDBK', '885531.DDBK']",['980474.ZHBK'],"['000035.BKDL', '000037.BKDL']",0
688303.XSHG,大全能源,38.44,,20.0125,0.22,19.75,0,1,0.0,19.15,0.01,0.0,0.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,"['885520.DDBK', '883300.DDBK', '885958.DDBK', '885531.DDBK', '883302.DDBK']",['980474.ZHBK'],"['000035.BKDL', '000037.BKDL']",0
300008.XSHE,天海防务,5.68,,-1.0453,-0.7,-0.35,0,0,0.0,41.5,0.0,3.9,0.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,"['885743.DDBK', '885426.DDBK', '885694.DDBK', '885430.DDBK', '885929.DDBK', '885854.DDBK', '885427.DDBK', '885700.DDBK', '885820.DDBK', '886043.DDBK']","['980363.ZHBK', '980338.ZHBK', '980343.ZHBK']","['000012.BKDL', '000038.BKDL', '000011.BKDL', '000005.BKDL', '000013.BKDL', '000033.BKDL', '000025.BKDL']",0
300631.XSHE,久吾高科,24.38,,2.6526,-1.47,4.19,0,0,0.0,56.94,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['885710.DDBK', '885922.DDBK', '885929.DDBK', '885854.DDBK', '885343.DDBK', '885798.DDBK', '885563.DDBK', '885412.DDBK', '885544.DDBK']","['980362.ZHBK', '980476.ZHBK']","['000036.BKDL', '000035.BKDL', '000011.BKDL', '000001.BKDL', '000033.BKDL']",0
