date,code,codeName,vol,amt,preClose,open,high,low,trade,close,pctChange,pctChangeRate,openPctChangeRate,riseRate,tradeTimestamp,tradeDate,tradeStatus,tradeSection,volRatio,turnoverRatio,amplitude,shortLineScore,trendScore,realShortLineScore,realTrendScore,preShortLineScore,preTrendScore,preRealShortLineScore,preRealTrendScore,shortLineScoreChange,trendScoreChange,realShortLineScoreChange,realTrendScoreChange,position,finalPosition,openPosition,realPosition
2024-10-24,9B0001,10cm超短,56627177632,600732301233.0902,938.53,944.07,968.28,943.97,966.22,966.22,27.689970703125027,2.95,1.0,0.03,152953,20241025,1,3,0.0,0.0,2.59,53.84,67.23,69.12,77.35,66.49,71.75,68.03,0.0,-14.19,67.23,1.09,77.35,1,1,4,5
2024-10-24,9B0002,创业板超短,26772388953,506131139899.9599,1000.77,1003.27,1032.89,1003.27,1024.79,1024.79,24.019980468749964,2.4,0.0,0.01,152945,20241025,1,3,0.0,0.0,2.96,21.75,60.16,42.48,70.8,72.72,82.68,71.42,0.0,-49.67,60.16,-28.94,70.8,1,1,4,4
2024-10-24,9B0003,科创板超短,3515252608,122121205965.0,1082.77,1085.69,1122.51,1084.61,1111.68,1111.68,28.909980468750064,2.67,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.5,25.7,58.97,47.24,70.57,84.48,81.89,84.13,0.0,-58.43,58.97,-36.89,70.57,1,1,4,4
2024-10-24,9C0001,全盘赛道,99756867834,1082997805707.439,1064.7,1067.04,1092.49,1066.72,1089.83,1089.83,25.130048828124927,2.36,0.0,0.03,152953,20241025,1,3,0.0,0.0,2.42,30.86,55.62,47.33,65.4,58.43,66.7,58.36,0.0,-27.5,55.62,-11.03,65.4,1,1,4,4
2024-10-23,9B0001,10cm超短,56627177632,600732301233.0902,938.53,944.07,968.28,943.97,966.22,966.22,27.689970703125027,2.95,1.0,0.03,152953,20241025,1,3,0.0,0.0,2.59,53.84,67.23,69.12,77.35,66.49,71.75,68.03,0.0,-14.19,67.23,1.09,77.35,1,1,4,5
2024-10-23,9B0003,科创板超短,3515252608,122121205965.0,1082.77,1085.69,1122.51,1084.61,1111.68,1111.68,28.909980468750064,2.67,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.5,25.7,58.97,47.24,70.57,84.48,81.89,84.13,0.0,-58.43,58.97,-36.89,70.57,1,1,4,4
2024-10-23,9B0002,创业板超短,26772388953,506131139899.9599,1000.77,1003.27,1032.89,1003.27,1024.79,1024.79,24.019980468749964,2.4,0.0,0.01,152945,20241025,1,3,0.0,0.0,2.96,21.75,60.16,42.48,70.8,72.72,82.68,71.42,0.0,-49.67,60.16,-28.94,70.8,1,1,4,4
2024-10-23,9C0001,全盘赛道,99756867834,1082997805707.439,1064.7,1067.04,1092.49,1066.72,1089.83,1089.83,25.130048828124927,2.36,0.0,0.03,152953,20241025,1,3,0.0,0.0,2.42,30.86,55.62,47.33,65.4,58.43,66.7,58.36,0.0,-27.5,55.62,-11.03,65.4,1,1,4,4
2024-10-23,9A0003,科创板题材,3527771482,117510474755.0,1194.13,1197.47,1234.25,1196.16,1222.67,1222.67,28.539995117187573,2.39,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.19,30.98,71.36,49.04,80.94,84.46,93.81,84.25,0.0,-53.27,71.36,-35.21,80.94,1,1,4,4
2024-10-23,9A0001,10cm题材,91851716741,913066931408.11,1065.21,1068.41,1089.18,1068.19,1087.69,1087.69,22.480039062500055,2.11,0.0,0.04,152953,20241025,1,3,0.0,0.0,1.97,38.85,60.23,53.37,68.93,57.08,66.33,58.97,0.0,-20.12,60.23,-5.6,68.93,1,1,4,4
2024-10-23,9A0002,创业板题材,29490928492,534756836975.96967,1249.55,1253.3,1287.66,1253.3,1279.16,1279.16,29.609951171875082,2.37,0.0,0.02,152945,20241025,1,3,0.0,0.0,2.75,34.67,78.91,52.73,88.34,79.48,99.27,78.61,0.0,-43.94,78.91,-25.88,88.34,1,1,4,4
2024-10-22,9A0001,10cm题材,91851716741,913066931408.11,1065.21,1068.41,1089.18,1068.19,1087.69,1087.69,22.480039062500055,2.11,0.0,0.04,152953,20241025,1,3,0.0,0.0,1.97,38.85,60.23,53.37,68.93,57.08,66.33,58.97,0.0,-20.12,60.23,-5.6,68.93,1,1,4,4
2024-10-22,9A0002,创业板题材,29490928492,534756836975.96967,1249.55,1253.3,1287.66,1253.3,1279.16,1279.16,29.609951171875082,2.37,0.0,0.02,152945,20241025,1,3,0.0,0.0,2.75,34.67,78.91,52.73,88.34,79.48,99.27,78.61,0.0,-43.94,78.91,-25.88,88.34,1,1,4,4
2024-10-22,9A0003,科创板题材,3527771482,117510474755.0,1194.13,1197.47,1234.25,1196.16,1222.67,1222.67,28.539995117187573,2.39,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.19,30.98,71.36,49.04,80.94,84.46,93.81,84.25,0.0,-53.27,71.36,-35.21,80.94,1,1,4,4
2024-10-22,9B0001,10cm超短,56627177632,600732301233.0902,938.53,944.07,968.28,943.97,966.22,966.22,27.689970703125027,2.95,1.0,0.03,152953,20241025,1,3,0.0,0.0,2.59,53.84,67.23,69.12,77.35,66.49,71.75,68.03,0.0,-14.19,67.23,1.09,77.35,1,1,4,5
2024-10-22,9B0002,创业板超短,26772388953,506131139899.9599,1000.77,1003.27,1032.89,1003.27,1024.79,1024.79,24.019980468749964,2.4,0.0,0.01,152945,20241025,1,3,0.0,0.0,2.96,21.75,60.16,42.48,70.8,72.72,82.68,71.42,0.0,-49.67,60.16,-28.94,70.8,1,1,4,4
2024-10-22,9B0003,科创板超短,3515252608,122121205965.0,1082.77,1085.69,1122.51,1084.61,1111.68,1111.68,28.909980468750064,2.67,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.5,25.7,58.97,47.24,70.57,84.48,81.89,84.13,0.0,-58.43,58.97,-36.89,70.57,1,1,4,4
2024-10-22,9C0001,全盘赛道,99756867834,1082997805707.439,1064.7,1067.04,1092.49,1066.72,1089.83,1089.83,25.130048828124927,2.36,0.0,0.03,152953,20241025,1,3,0.0,0.0,2.42,30.86,55.62,47.33,65.4,58.43,66.7,58.36,0.0,-27.5,55.62,-11.03,65.4,1,1,4,4
2024-10-21,9A0003,科创板题材,3527771482,117510474755.0,1194.13,1197.47,1234.25,1196.16,1222.67,1222.67,28.539995117187573,2.39,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.19,30.98,71.36,49.04,80.94,84.46,93.81,84.25,0.0,-53.27,71.36,-35.21,80.94,1,1,4,4
2024-10-21,9B0001,10cm超短,56627177632,600732301233.0902,938.53,944.07,968.28,943.97,966.22,966.22,27.689970703125027,2.95,1.0,0.03,152953,20241025,1,3,0.0,0.0,2.59,53.84,67.23,69.12,77.35,66.49,71.75,68.03,0.0,-14.19,67.23,1.09,77.35,1,1,4,5
2024-10-21,9B0003,科创板超短,3515252608,122121205965.0,1082.77,1085.69,1122.51,1084.61,1111.68,1111.68,28.909980468750064,2.67,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.5,25.7,58.97,47.24,70.57,84.48,81.89,84.13,0.0,-58.43,58.97,-36.89,70.57,1,1,4,4
2024-10-21,9B0002,创业板超短,26772388953,506131139899.9599,1000.77,1003.27,1032.89,1003.27,1024.79,1024.79,24.019980468749964,2.4,0.0,0.01,152945,20241025,1,3,0.0,0.0,2.96,21.75,60.16,42.48,70.8,72.72,82.68,71.42,0.0,-49.67,60.16,-28.94,70.8,1,1,4,4
2024-10-21,9C0001,全盘赛道,99756867834,1082997805707.439,1064.7,1067.04,1092.49,1066.72,1089.83,1089.83,25.130048828124927,2.36,0.0,0.03,152953,20241025,1,3,0.0,0.0,2.42,30.86,55.62,47.33,65.4,58.43,66.7,58.36,0.0,-27.5,55.62,-11.03,65.4,1,1,4,4
2024-10-21,9A0001,10cm题材,91851716741,913066931408.11,1065.21,1068.41,1089.18,1068.19,1087.69,1087.69,22.480039062500055,2.11,0.0,0.04,152953,20241025,1,3,0.0,0.0,1.97,38.85,60.23,53.37,68.93,57.08,66.33,58.97,0.0,-20.12,60.23,-5.6,68.93,1,1,4,4
2024-10-21,9A0002,创业板题材,29490928492,534756836975.96967,1249.55,1253.3,1287.66,1253.3,1279.16,1279.16,29.609951171875082,2.37,0.0,0.02,152945,20241025,1,3,0.0,0.0,2.75,34.67,78.91,52.73,88.34,79.48,99.27,78.61,0.0,-43.94,78.91,-25.88,88.34,1,1,4,4
2024-10-18,9A0001,10cm题材,91851716741,913066931408.11,1065.21,1068.41,1089.18,1068.19,1087.69,1087.69,22.480039062500055,2.11,0.0,0.04,152953,20241025,1,3,0.0,0.0,1.97,38.85,60.23,53.37,68.93,57.08,66.33,58.97,0.0,-20.12,60.23,-5.6,68.93,1,1,4,4
2024-10-18,9A0002,创业板题材,29490928492,534756836975.96967,1249.55,1253.3,1287.66,1253.3,1279.16,1279.16,29.609951171875082,2.37,0.0,0.02,152945,20241025,1,3,0.0,0.0,2.75,34.67,78.91,52.73,88.34,79.48,99.27,78.61,0.0,-43.94,78.91,-25.88,88.34,1,1,4,4
2024-10-18,9A0003,科创板题材,3527771482,117510474755.0,1194.13,1197.47,1234.25,1196.16,1222.67,1222.67,28.539995117187573,2.39,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.19,30.98,71.36,49.04,80.94,84.46,93.81,84.25,0.0,-53.27,71.36,-35.21,80.94,1,1,4,4
2024-10-18,9B0001,10cm超短,56627177632,600732301233.0902,938.53,944.07,968.28,943.97,966.22,966.22,27.689970703125027,2.95,1.0,0.03,152953,20241025,1,3,0.0,0.0,2.59,53.84,67.23,69.12,77.35,66.49,71.75,68.03,0.0,-14.19,67.23,1.09,77.35,1,1,4,5
2024-10-18,9B0002,创业板超短,26772388953,506131139899.9599,1000.77,1003.27,1032.89,1003.27,1024.79,1024.79,24.019980468749964,2.4,0.0,0.01,152945,20241025,1,3,0.0,0.0,2.96,21.75,60.16,42.48,70.8,72.72,82.68,71.42,0.0,-49.67,60.16,-28.94,70.8,1,1,4,4
2024-10-18,9B0003,科创板超短,3515252608,122121205965.0,1082.77,1085.69,1122.51,1084.61,1111.68,1111.68,28.909980468750064,2.67,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.5,25.7,58.97,47.24,70.57,84.48,81.89,84.13,0.0,-58.43,58.97,-36.89,70.57,1,1,4,4
2024-10-18,9C0001,全盘赛道,99756867834,1082997805707.439,1064.7,1067.04,1092.49,1066.72,1089.83,1089.83,25.130048828124927,2.36,0.0,0.03,152953,20241025,1,3,0.0,0.0,2.42,30.86,55.62,47.33,65.4,58.43,66.7,58.36,0.0,-27.5,55.62,-11.03,65.4,1,1,4,4
2024-10-17,9A0001,10cm题材,91851716741,913066931408.11,1065.21,1068.41,1089.18,1068.19,1087.69,1087.69,22.480039062500055,2.11,0.0,0.04,152953,20241025,1,3,0.0,0.0,1.97,38.85,60.23,53.37,68.93,57.08,66.33,58.97,0.0,-20.12,60.23,-5.6,68.93,1,1,4,4
2024-10-17,9A0002,创业板题材,29490928492,534756836975.96967,1249.55,1253.3,1287.66,1253.3,1279.16,1279.16,29.609951171875082,2.37,0.0,0.02,152945,20241025,1,3,0.0,0.0,2.75,34.67,78.91,52.73,88.34,79.48,99.27,78.61,0.0,-43.94,78.91,-25.88,88.34,1,1,4,4
2024-10-17,9A0003,科创板题材,3527771482,117510474755.0,1194.13,1197.47,1234.25,1196.16,1222.67,1222.67,28.539995117187573,2.39,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.19,30.98,71.36,49.04,80.94,84.46,93.81,84.25,0.0,-53.27,71.36,-35.21,80.94,1,1,4,4
2024-10-17,9B0001,10cm超短,56627177632,600732301233.0902,938.53,944.07,968.28,943.97,966.22,966.22,27.689970703125027,2.95,1.0,0.03,152953,20241025,1,3,0.0,0.0,2.59,53.84,67.23,69.12,77.35,66.49,71.75,68.03,0.0,-14.19,67.23,1.09,77.35,1,1,4,5
2024-10-17,9B0002,创业板超短,26772388953,506131139899.9599,1000.77,1003.27,1032.89,1003.27,1024.79,1024.79,24.019980468749964,2.4,0.0,0.01,152945,20241025,1,3,0.0,0.0,2.96,21.75,60.16,42.48,70.8,72.72,82.68,71.42,0.0,-49.67,60.16,-28.94,70.8,1,1,4,4
2024-10-17,9B0003,科创板超短,3515252608,122121205965.0,1082.77,1085.69,1122.51,1084.61,1111.68,1111.68,28.909980468750064,2.67,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.5,25.7,58.97,47.24,70.57,84.48,81.89,84.13,0.0,-58.43,58.97,-36.89,70.57,1,1,4,4
2024-10-17,9C0001,全盘赛道,99756867834,1082997805707.439,1064.7,1067.04,1092.49,1066.72,1089.83,1089.83,25.130048828124927,2.36,0.0,0.03,152953,20241025,1,3,0.0,0.0,2.42,30.86,55.62,47.33,65.4,58.43,66.7,58.36,0.0,-27.5,55.62,-11.03,65.4,1,1,4,4
2024-10-16,9A0001,10cm题材,91851716741,913066931408.11,1065.21,1068.41,1089.18,1068.19,1087.69,1087.69,22.480039062500055,2.11,0.0,0.04,152953,20241025,1,3,0.0,0.0,1.97,38.85,60.23,53.37,68.93,57.08,66.33,58.97,0.0,-20.12,60.23,-5.6,68.93,1,1,4,4
2024-10-16,9A0002,创业板题材,29490928492,534756836975.96967,1249.55,1253.3,1287.66,1253.3,1279.16,1279.16,29.609951171875082,2.37,0.0,0.02,152945,20241025,1,3,0.0,0.0,2.75,34.67,78.91,52.73,88.34,79.48,99.27,78.61,0.0,-43.94,78.91,-25.88,88.34,1,1,4,4
2024-10-16,9A0003,科创板题材,3527771482,117510474755.0,1194.13,1197.47,1234.25,1196.16,1222.67,1222.67,28.539995117187573,2.39,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.19,30.98,71.36,49.04,80.94,84.46,93.81,84.25,0.0,-53.27,71.36,-35.21,80.94,1,1,4,4
2024-10-16,9B0001,10cm超短,56627177632,600732301233.0902,938.53,944.07,968.28,943.97,966.22,966.22,27.689970703125027,2.95,1.0,0.03,152953,20241025,1,3,0.0,0.0,2.59,53.84,67.23,69.12,77.35,66.49,71.75,68.03,0.0,-14.19,67.23,1.09,77.35,1,1,4,5
2024-10-16,9B0002,创业板超短,26772388953,506131139899.9599,1000.77,1003.27,1032.89,1003.27,1024.79,1024.79,24.019980468749964,2.4,0.0,0.01,152945,20241025,1,3,0.0,0.0,2.96,21.75,60.16,42.48,70.8,72.72,82.68,71.42,0.0,-49.67,60.16,-28.94,70.8,1,1,4,4
2024-10-16,9B0003,科创板超短,3515252608,122121205965.0,1082.77,1085.69,1122.51,1084.61,1111.68,1111.68,28.909980468750064,2.67,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.5,25.7,58.97,47.24,70.57,84.48,81.89,84.13,0.0,-58.43,58.97,-36.89,70.57,1,1,4,4
2024-10-16,9C0001,全盘赛道,99756867834,1082997805707.439,1064.7,1067.04,1092.49,1066.72,1089.83,1089.83,25.130048828124927,2.36,0.0,0.03,152953,20241025,1,3,0.0,0.0,2.42,30.86,55.62,47.33,65.4,58.43,66.7,58.36,0.0,-27.5,55.62,-11.03,65.4,1,1,4,4
2024-10-15,9A0001,10cm题材,91851716741,913066931408.11,1065.21,1068.41,1089.18,1068.19,1087.69,1087.69,22.480039062500055,2.11,0.0,0.04,152953,20241025,1,3,0.0,0.0,1.97,38.85,60.23,53.37,68.93,57.08,66.33,58.97,0.0,-20.12,60.23,-5.6,68.93,1,1,4,4
2024-10-15,9A0002,创业板题材,29490928492,534756836975.96967,1249.55,1253.3,1287.66,1253.3,1279.16,1279.16,29.609951171875082,2.37,0.0,0.02,152945,20241025,1,3,0.0,0.0,2.75,34.67,78.91,52.73,88.34,79.48,99.27,78.61,0.0,-43.94,78.91,-25.88,88.34,1,1,4,4
2024-10-15,9A0003,科创板题材,3527771482,117510474755.0,1194.13,1197.47,1234.25,1196.16,1222.67,1222.67,28.539995117187573,2.39,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.19,30.98,71.36,49.04,80.94,84.46,93.81,84.25,0.0,-53.27,71.36,-35.21,80.94,1,1,4,4
2024-10-15,9B0001,10cm超短,56627177632,600732301233.0902,938.53,944.07,968.28,943.97,966.22,966.22,27.689970703125027,2.95,1.0,0.03,152953,20241025,1,3,0.0,0.0,2.59,53.84,67.23,69.12,77.35,66.49,71.75,68.03,0.0,-14.19,67.23,1.09,77.35,1,1,4,5
2024-10-15,9B0002,创业板超短,26772388953,506131139899.9599,1000.77,1003.27,1032.89,1003.27,1024.79,1024.79,24.019980468749964,2.4,0.0,0.01,152945,20241025,1,3,0.0,0.0,2.96,21.75,60.16,42.48,70.8,72.72,82.68,71.42,0.0,-49.67,60.16,-28.94,70.8,1,1,4,4
2024-10-15,9B0003,科创板超短,3515252608,122121205965.0,1082.77,1085.69,1122.51,1084.61,1111.68,1111.68,28.909980468750064,2.67,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.5,25.7,58.97,47.24,70.57,84.48,81.89,84.13,0.0,-58.43,58.97,-36.89,70.57,1,1,4,4
2024-10-15,9C0001,全盘赛道,99756867834,1082997805707.439,1064.7,1067.04,1092.49,1066.72,1089.83,1089.83,25.130048828124927,2.36,0.0,0.03,152953,20241025,1,3,0.0,0.0,2.42,30.86,55.62,47.33,65.4,58.43,66.7,58.36,0.0,-27.5,55.62,-11.03,65.4,1,1,4,4
2024-10-14,9A0001,10cm题材,91851716741,913066931408.11,1065.21,1068.41,1089.18,1068.19,1087.69,1087.69,22.480039062500055,2.11,0.0,0.04,152953,20241025,1,3,0.0,0.0,1.97,38.85,60.23,53.37,68.93,57.08,66.33,58.97,0.0,-20.12,60.23,-5.6,68.93,1,1,4,4
2024-10-14,9A0002,创业板题材,29490928492,534756836975.96967,1249.55,1253.3,1287.66,1253.3,1279.16,1279.16,29.609951171875082,2.37,0.0,0.02,152945,20241025,1,3,0.0,0.0,2.75,34.67,78.91,52.73,88.34,79.48,99.27,78.61,0.0,-43.94,78.91,-25.88,88.34,1,1,4,4
2024-10-14,9A0003,科创板题材,3527771482,117510474755.0,1194.13,1197.47,1234.25,1196.16,1222.67,1222.67,28.539995117187573,2.39,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.19,30.98,71.36,49.04,80.94,84.46,93.81,84.25,0.0,-53.27,71.36,-35.21,80.94,1,1,4,4
2024-10-14,9B0001,10cm超短,56627177632,600732301233.0902,938.53,944.07,968.28,943.97,966.22,966.22,27.689970703125027,2.95,1.0,0.03,152953,20241025,1,3,0.0,0.0,2.59,53.84,67.23,69.12,77.35,66.49,71.75,68.03,0.0,-14.19,67.23,1.09,77.35,1,1,4,5
2024-10-14,9B0002,创业板超短,26772388953,506131139899.9599,1000.77,1003.27,1032.89,1003.27,1024.79,1024.79,24.019980468749964,2.4,0.0,0.01,152945,20241025,1,3,0.0,0.0,2.96,21.75,60.16,42.48,70.8,72.72,82.68,71.42,0.0,-49.67,60.16,-28.94,70.8,1,1,4,4
2024-10-14,9B0003,科创板超短,3515252608,122121205965.0,1082.77,1085.69,1122.51,1084.61,1111.68,1111.68,28.909980468750064,2.67,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.5,25.7,58.97,47.24,70.57,84.48,81.89,84.13,0.0,-58.43,58.97,-36.89,70.57,1,1,4,4
2024-10-14,9C0001,全盘赛道,99756867834,1082997805707.439,1064.7,1067.04,1092.49,1066.72,1089.83,1089.83,25.130048828124927,2.36,0.0,0.03,152953,20241025,1,3,0.0,0.0,2.42,30.86,55.62,47.33,65.4,58.43,66.7,58.36,0.0,-27.5,55.62,-11.03,65.4,1,1,4,4
2024-10-11,9A0001,10cm题材,91851716741,913066931408.11,1065.21,1068.41,1089.18,1068.19,1087.69,1087.69,22.480039062500055,2.11,0.0,0.04,152953,20241025,1,3,0.0,0.0,1.97,38.85,60.23,53.37,68.93,57.08,66.33,58.97,0.0,-20.12,60.23,-5.6,68.93,1,1,4,4
2024-10-11,9A0002,创业板题材,29490928492,534756836975.96967,1249.55,1253.3,1287.66,1253.3,1279.16,1279.16,29.609951171875082,2.37,0.0,0.02,152945,20241025,1,3,0.0,0.0,2.75,34.67,78.91,52.73,88.34,79.48,99.27,78.61,0.0,-43.94,78.91,-25.88,88.34,1,1,4,4
2024-10-11,9A0003,科创板题材,3527771482,117510474755.0,1194.13,1197.47,1234.25,1196.16,1222.67,1222.67,28.539995117187573,2.39,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.19,30.98,71.36,49.04,80.94,84.46,93.81,84.25,0.0,-53.27,71.36,-35.21,80.94,1,1,4,4
2024-10-11,9B0001,10cm超短,56627177632,600732301233.0902,938.53,944.07,968.28,943.97,966.22,966.22,27.689970703125027,2.95,1.0,0.03,152953,20241025,1,3,0.0,0.0,2.59,53.84,67.23,69.12,77.35,66.49,71.75,68.03,0.0,-14.19,67.23,1.09,77.35,1,1,4,5
2024-10-11,9B0002,创业板超短,26772388953,506131139899.9599,1000.77,1003.27,1032.89,1003.27,1024.79,1024.79,24.019980468749964,2.4,0.0,0.01,152945,20241025,1,3,0.0,0.0,2.96,21.75,60.16,42.48,70.8,72.72,82.68,71.42,0.0,-49.67,60.16,-28.94,70.8,1,1,4,4
2024-10-11,9B0003,科创板超短,3515252608,122121205965.0,1082.77,1085.69,1122.51,1084.61,1111.68,1111.68,28.909980468750064,2.67,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.5,25.7,58.97,47.24,70.57,84.48,81.89,84.13,0.0,-58.43,58.97,-36.89,70.57,1,1,4,4
2024-10-11,9C0001,全盘赛道,99756867834,1082997805707.439,1064.7,1067.04,1092.49,1066.72,1089.83,1089.83,25.130048828124927,2.36,0.0,0.03,152953,20241025,1,3,0.0,0.0,2.42,30.86,55.62,47.33,65.4,58.43,66.7,58.36,0.0,-27.5,55.62,-11.03,65.4,1,1,4,4
2024-10-10,9B0003,科创板超短,3515252608,122121205965.0,1082.77,1085.69,1122.51,1084.61,1111.68,1111.68,28.909980468750064,2.67,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.5,25.7,58.97,47.24,70.57,84.48,81.89,84.13,0.0,-58.43,58.97,-36.89,70.57,1,1,4,4
2024-10-10,9A0003,科创板题材,3527771482,117510474755.0,1194.13,1197.47,1234.25,1196.16,1222.67,1222.67,28.539995117187573,2.39,0.0,0.01,152953,20241025,1,3,0.0,0.0,3.19,30.98,71.36,49.04,80.94,84.46,93.81,84.25,0.0,-53.27,71.36,-35.21,80.94,1,1,4,4
2024-10-10,9C0001,全盘赛道,99756867834,1082997805707.439,1064.7,1067.04,1092.49,1066.72,1089.83,1089.83,25.130048828124927,2.36,0.0,0.03,152953,20241025,1,3,0.0,0.0,2.42,30.86,55.62,47.33,65.4,58.43,66.7,58.36,0.0,-27.5,55.62,-11.03,65.4,1,1,4,4
2024-10-10,9B0002,创业板超短,26772388953,506131139899.9599,1000.77,1003.27,1032.89,1003.27,1024.79,1024.79,24.019980468749964,2.4,0.0,0.01,152945,20241025,1,3,0.0,0.0,2.96,21.75,60.16,42.48,70.8,72.72,82.68,71.42,0.0,-49.67,60.16,-28.94,70.8,1,1,4,4
2024-10-10,9B0001,10cm超短,56627177632,600732301233.0902,938.53,944.07,968.28,943.97,966.22,966.22,27.689970703125027,2.95,1.0,0.03,152953,20241025,1,3,0.0,0.0,2.59,53.84,67.23,69.12,77.35,66.49,71.75,68.03,0.0,-14.19,67.23,1.09,77.35,1,1,4,5
2024-10-10,9A0001,10cm题材,91851716741,913066931408.11,1065.21,1068.41,1089.18,1068.19,1087.69,1087.69,22.480039062500055,2.11,0.0,0.04,152953,20241025,1,3,0.0,0.0,1.97,38.85,60.23,53.37,68.93,57.08,66.33,58.97,0.0,-20.12,60.23,-5.6,68.93,1,1,4,4
2024-10-10,9A0002,创业板题材,29490928492,534756836975.96967,1249.55,1253.3,1287.66,1253.3,1279.16,1279.16,29.609951171875082,2.37,0.0,0.02,152945,20241025,1,3,0.0,0.0,2.75,34.67,78.91,52.73,88.34,79.48,99.27,78.61,0.0,-43.94,78.91,-25.88,88.34,1,1,4,4
